Price,Latitude,Longitude
2600,17.3666,42.5333
2600.01,17.3666,42.5331
2600.04,24.4171,46.5633
2600.09,21.7855,39.1951
2600.16,24.8622,46.8333
2600.25,21.202,40.5966
2600.36,21.2786,39.9535
2600.49,24.671,46.7328
2600.64,24.7898,46.8145
2600.81,24.6686,46.7236
2601,21.4828,40.0237
2601.21,24.5643,46.6018
2601.44,24.7896,46.8145
2601.69,21.4828,40.0237
2601.96,26.426,50.1063
2602.25,24.136,47.3634
2602.56,24.6718,46.7249
2602.89,22.405,39.0761
2603.24,26.9978,49.6456
2603.61,24.5273,46.6363
2604,26.3768,50.1108
2604.41,21.8087,39.1528
2604.84,26.2764,50.1881
2605.29,24.7474,46.5116
2605.76,26.4261,50.1064
2606.25,21.5524,39.2965
2606.76,26.4261,50.1064
2607.29,26.426,50.1065
2607.84,26.427,50.1065
2608.41,24.1899,47.3302
2609,24.6734,46.7289
2609.61,22.7854,39.0618
2610.24,21.1972,40.6032
2610.89,17.1198,42.6145
2611.56,17.108,42.5598
2612.25,17.1856,42.6424
2612.96,19.1289,41.0772
2613.69,21.4827,40.0236
2614.44,26.4412,50.0963
2615.21,21.7829,39.227
2616,24.6234,46.1795
2616.81,18.2039,42.5212
2617.64,25.4546,49.5894
2618.49,24.5672,46.8104
2619.36,21.5608,40.5062
2620.25,21.7571,39.0884
2621.16,26.3262,43.8196
2622.09,17.3567,43.1289
2623.04,26.294,44.8841
2624.01,25.43,49.5278
2625,24.4717,39.4599
2626.01,21.7537,39.0673
2627.04,24.9159,46.4533
2628.09,25.4296,49.5279
2629.16,28.4171,36.7366
2630.25,24.7354,46.5151
2631.36,21.4754,40.0366
2632.49,21.375,39.3109
2633.64,26.2855,50.1871
2634.81,21.4831,39.3558
2636,21.6142,39.8005
2637.21,21.384,40.5076
2638.44,24.3829,39.6079
2639.69,21.5148,39.3562
2640.96,24.6317,46.4748
2642.25,24.3833,39.6071
2643.56,24.7658,46.4339
2644.89,21.8092,39.1262
2646.24,24.4204,46.5613
2647.61,24.4013,46.6644
2649,24.4096,46.585
2650.41,18.1875,42.7329
2651.84,18.1869,42.7332
2653.29,18.1799,42.6053
2654.76,28.4642,36.6039
2656.25,18.2609,42.6787
2657.76,21.499,40.4955
2659.29,21.8191,39.1434
2660.84,26.3586,43.8921
2662.41,28.4643,36.6039
2664,21.7831,39.227
2665.61,26.4733,50.0129
2667.24,24.5692,39.6017
2668.89,24.2205,47.1979
2670.56,18.187,42.5682
2672.25,24.4164,46.2437
2673.96,21.5245,40.0475
2675.69,21.5098,39.3427
2677.44,21.5099,39.3427
2679.21,21.7792,39.0951
2681,26.094,43.9417
2682.81,21.5245,40.0475
2684.64,21.5099,39.3427
2686.49,25.0462,47.0463
2688.36,26.2774,50.1958
2690.25,21.5094,39.3614
2692.16,21.5098,39.3427
2694.09,26.3198,44.8868
2696.04,21.5702,39.2937
2698.01,25.6048,49.5483
2700,26.3723,49.9637
2702.01,25.4086,49.4645
2704.04,26.278,50.1916
2706.09,21.5099,39.3427
2708.16,21.4922,39.3706
2710.25,21.4649,39.357
2712.36,26.2668,50.2047
2714.49,21.5099,39.3427
2716.64,24.9942,46.5895
2718.81,25.9317,45.3739
2721,18.2334,42.6239
2723.21,26.4376,50.0544
2725.44,26.1718,50.1482
2727.69,21.5149,39.3613
2729.96,21.515,39.3613
2732.25,21.5149,39.3613
2734.56,21.5149,39.3613
2736.89,26.4267,50.1063
2739.24,18.2799,42.4946
2741.61,24.928,46.8104
2744,21.3939,40.5162
2746.41,24.7898,46.8612
2748.84,21.6142,39.8005
2751.29,21.5098,39.3424
2753.76,21.5099,39.3427
2756.25,21.8106,39.0542
2758.76,24.6897,46.7004
2761.29,24.6764,46.6702
2763.84,21.5099,39.3427
2766.41,21.5897,39.289
2769,24.8616,46.8035
2771.61,24.6765,46.8526
2774.24,26.4368,50.0555
2776.89,24.8643,46.6657
2779.56,19.9969,41.5218
2782.25,24.1652,47.3224
2784.96,26.4317,50.0562
2787.69,21.4559,40.013
2790.44,21.8128,39.2333
2793.21,26.4865,50.1222
2796,21.7829,39.227
2798.81,16.8934,42.5644
2801.64,27.5691,41.7298
2804.49,25.3604,49.5874
2807.36,21.783,39.2269
2810.25,21.4081,39.3232
2813.16,18.3047,42.6322
2816.09,24.8528,46.8032
2819.04,29.8598,40.2201
2822.01,24.6506,46.5836
2825,22.4893,39.1069
2828.01,22.4893,39.107
2831.04,22.4894,39.1069
2834.09,21.4554,39.3909
2837.16,25.3533,49.5818
2840.25,24.6739,46.7299
2843.36,22.7988,39.0635
2846.49,21.8109,39.0542
2849.64,25.9204,45.3576
2852.81,21.5099,39.3653
2856,24.1497,47.3506
2859.21,26.4227,50.0301
2862.44,24.807,46.4832
2865.69,26.3262,43.8852
2868.96,26.2544,49.6199
2872.25,24.6214,46.5764
2875.56,26.3453,49.9686
2878.89,26.0904,50.1514
2882.24,21.516,39.3462
2885.61,21.5162,39.3462
2889,26.4427,50.0807
2892.41,24.0048,38.1952
2895.84,24.9047,46.7876
2899.29,24.6323,46.4835
2902.76,26.4392,50.0588
2906.25,17.7886,42.3303
2909.76,24.4462,39.4722
2913.29,25.2495,46.4516
2916.84,21.5183,40.5188
2920.41,26.1507,50.1215
2924,25.0191,46.4563
2927.61,26.4154,50.0664
2931.24,26.4506,50.0924
2934.89,25.0367,46.5586
2938.56,22.8296,39.041
2942.25,20.0048,42.6203
2945.96,18.2668,42.6151
2949.69,21.0724,40.3146
2953.44,24.4866,39.4646
2957.21,21.5099,39.3653
2961,24.364,39.5704
2964.81,24.3646,39.564
2968.64,26.7414,38.0525
2972.49,24.4434,39.4669
2976.36,25.361,49.5874
2980.25,26.2714,50.1964
2984.16,18.1822,42.6005
2988.09,24.4597,46.7309
2992.04,25.3532,49.582
2996.01,17.4928,44.1892
3000,21.7882,39.2249
3004.01,24.6671,46.728
3008.04,21.7821,39.2156
3012.09,24.46,46.7306
3016.16,21.8082,39.0548
3020.25,26.0993,43.9778
3024.36,21.8153,39.0687
3028.49,21.3356,40.4373
3032.64,21.8523,39.0799
3036.81,21.8337,39.0694
3041,21.4052,39.2983
3045.21,21.4053,39.2983
3049.44,24.863,46.6606
3053.69,24.7797,46.3634
3057.96,21.4066,39.2961
3062.25,24.6218,46.5768
3066.56,21.8132,39.2372
3070.89,21.334,40.5359
3075.24,21.4029,39.2969
3079.61,24.0656,38.0932
3084,21.4051,39.2984
3088.41,26.2895,50.187
3092.84,26.2891,50.1876
3097.29,24.6268,46.8475
3101.76,22.4498,39.1313
3106.25,21.8101,39.0542
3110.76,26.442,43.8857
3115.29,26.2893,50.1869
3119.84,26.2891,50.187
3124.41,28.3765,36.5525
3129,25.3625,49.5554
3133.61,21.5285,39.9734
3138.24,24.5684,39.596
3142.89,21.5084,39.3259
3147.56,24.4698,46.4113
3152.25,20.0383,41.4949
3156.96,20.0383,41.4949
3161.69,21.402,39.3168
3166.44,24.7881,46.8682
3171.21,21.2367,40.527
3176,16.9779,42.8393
3180.81,18.2269,42.8216
3185.64,16.9795,42.8357
3190.49,19.859,41.5882
3195.36,22.4896,39.105
3200.25,18.2911,42.6635
3205.16,21.5335,39.3442
3210.09,27.9433,48.6667
3215.04,24.1917,47.3554
3220.01,21.4045,39.3222
3225,24.46,44.4186
3230.01,21.4046,39.3222
3235.04,24.9091,46.3826
3240.09,24.6271,46.7337
3245.16,21.8471,39.1044
3250.25,21.3568,40.2771
3255.36,21.4045,39.3222
3260.49,21.4046,39.3221
3265.64,26.4993,50.0257
3270.81,24.8095,46.6622
3276,21.4019,39.3168
3281.21,24.8465,46.8668
3286.44,21.5085,39.2562
3291.69,18.1873,42.5682
3296.96,21.4903,39.2959
3302.25,22.7872,39.0622
3307.56,18.0055,42.8008
3312.89,18.2066,42.6522
3318.24,21.4706,39.8436
3323.61,24.4215,46.5253
3329,21.4114,39.4266
3334.41,21.9516,38.9646
3339.84,19.9199,41.5819
3345.29,21.5098,39.2366
3350.76,24.6872,46.8362
3356.25,24.6874,46.8363
3361.76,24.9108,46.4578
3367.29,21.5241,39.3423
3372.84,24.5282,44.3934
3378.41,24.8205,46.5993
3384,22.4027,39.0817
3389.61,26.3785,43.8516
3395.24,24.7742,46.6879
3400.89,24.5601,46.606
3406.56,21.8733,39.1913
3412.25,26.0783,44.0919
3417.96,21.8096,39.0535
3423.69,18.3195,42.7485
3429.44,18.3195,42.7485
3435.21,26.4578,50.0514
3441,26.4379,50.0769
3446.81,26.4364,50.0638
3452.64,26.4735,50.0866
3458.49,26.4128,50.0762
3464.36,26.42,50.0182
3470.25,26.4346,50.0179
3476.16,26.4652,50.0822
3482.09,26.4446,50.0918
3488.04,26.4374,50.057
3494.01,26.3759,49.9725
3500,24.8575,46.7985
3506.01,24.7964,39.1631
3512.04,21.8893,39.1873
3518.09,24.4636,39.5019
3524.16,24.6633,46.8306
3530.25,18.0973,42.8069
3536.36,24.3643,39.5705
3542.49,21.5914,39.8088
3548.64,21.3498,40.5481
3554.81,24.5159,39.7154
3561,22.47,39.1047
3567.21,22.4049,39.0822
3573.44,24.107,47.2685
3579.69,24.1069,47.2686
3585.96,18.2203,42.4944
3592.25,24.8598,46.8013
3598.56,22.4119,39.0756
3604.89,21.5415,39.2815
3611.24,21.5427,39.292
3617.61,24.1401,47.3868
3624,22.4068,39.077
3630.41,21.551,39.2046
3636.84,21.5495,39.3179
3643.29,24.6434,46.492
3649.76,21.5701,39.2998
3656.25,21.5431,39.2804
3662.76,22.8011,39.0471
3669.29,19.5745,41.9584
3675.84,21.408,39.3232
3682.41,24.8278,46.5945
3689,24.4416,39.4826
3695.61,21.7444,39.1878
3702.24,24.6213,46.5802
3708.89,24.5659,46.5881
3715.56,18.2348,42.7762
3722.25,21.563,39.1613
3728.96,24.507,39.723
3735.69,27.5694,41.7296
3742.44,24.6475,46.5462
3749.21,21.3744,40.0383
3756,24.8268,46.6829
3762.81,17.5734,44.3347
3769.64,18.1988,42.5067
3776.49,22.3971,39.0834
3783.36,21.8272,39.0301
3790.25,21.8125,39.0805
3797.16,21.792,39.1433
3804.09,21.7649,39.0946
3811.04,17.8262,42.3638
3818.01,21.4509,39.8374
3825,26.3468,50.0453
3832.01,21.5871,39.129
3839.04,26.347,50.0447
3846.09,21.3992,39.3115
3853.16,26.2882,50.1858
3860.25,26.2884,50.1846
3867.36,26.2781,50.2157
3874.49,26.2779,50.2156
3881.64,24.4473,39.6849
3888.81,21.3801,39.7698
3896,21.54,39.283
3903.21,18.2492,42.7005
3910.44,17.7425,42.2915
3917.69,17.7425,42.2917
3924.96,24.8342,46.8074
3932.25,19.83,41.7083
3939.56,19.8299,41.7084
3946.89,24.8585,46.8023
3954.24,21.3225,39.2402
3961.61,24.4374,46.2731
3969,24.4945,46.3193
3976.41,24.449,46.2762
3983.84,24.7765,46.685
3991.29,28.4642,36.6037
3998.76,21.5111,39.3259
4006.25,21.527,40.4966
4013.76,25.0626,46.6178
4021.29,24.4373,46.273
4028.84,27.3595,41.5361
4036.41,21.7907,39.2297
4044,21.5172,39.3072
4051.61,22.4022,39.0816
4059.24,24.869,46.8258
4066.89,24.8616,46.7971
4074.56,26.2884,50.1836
4082.25,21.5108,39.1822
4089.96,24.4375,46.2731
4097.69,17.7125,42.2909
4105.44,26.2888,50.1837
4113.21,18.2759,42.7361
4121,24.1394,37.9869
4128.81,26.8979,49.4533
4136.64,18.358,42.712
4144.49,17.7165,42.2959
4152.36,26.3469,50.0444
4160.25,26.3468,50.0442
4168.16,26.3754,49.9728
4176.09,24.391,46.6577
4184.04,21.3947,39.3155
4192.01,24.9099,46.8134
4200,20.0101,42.6445
4208.01,24.9083,46.6049
4216.04,16.9581,42.8178
4224.09,21.5464,39.2902
4232.16,26.3788,49.8555
4240.25,21.8367,39.1986
4248.36,21.5095,40.5138
4256.49,24.5146,44.3124
4264.64,26.1539,50.1472
4272.81,21.789,39.0898
4281,24.1069,47.2685
4289.21,21.6309,39.1058
4297.44,24.5605,46.5205
4305.69,19.6061,41.5223
4313.96,21.4701,39.8259
4322.25,21.4701,39.8259
4330.56,21.3817,39.2891
4338.89,21.3799,39.3059
4347.24,21.4288,39.297
4355.61,18.0973,42.8065
4364,23.2047,43.1933
4372.41,24.5935,46.5885
4380.84,21.3801,39.3075
4389.29,26.3872,43.8659
4397.76,21.8741,39.2428
4406.25,21.3755,39.3055
4414.76,24.9183,46.4514
4423.29,19.9728,41.5075
4431.84,21.7513,39.1851
4440.41,24.8591,46.8037
4449,24.4963,46.5053
4457.61,21.3996,39.3173
4466.24,24.1392,47.3463
4474.89,18.2693,42.5681
4483.56,21.3814,39.3078
4492.25,24.568,46.5975
4500.96,21.5834,39.2225
4509.69,21.5099,39.3653
4518.44,21.51,39.3654
4527.21,24.8778,46.6054
4536,26.0166,44.0035
4544.81,26.0165,44.0035
4553.64,26.0165,44.0035
4562.49,26.0166,44.0035
4571.36,26.0165,44.0035
4580.25,26.0166,44.0035
4589.16,26.0164,44.0036
4598.09,21.3814,39.3078
4607.04,21.3803,39.307
4616.01,25.8772,45.3994
4625,26.2748,50.1932
4634.01,24.9043,46.407
4643.04,26.0998,43.9778
4652.09,21.8542,39.2246
4661.16,21.8031,39.3062
4670.25,21.2913,40.4338
4679.36,27.0226,49.6269
4688.49,24.8255,46.5731
4697.64,17.7874,41.9315
4706.81,21.8093,39.1259
4716,26.2511,44.0238
4725.21,26.2511,44.0238
4734.44,26.2511,44.0238
4743.69,26.251,44.0237
4752.96,26.2511,44.0238
4762.25,26.2511,44.0237
4771.56,26.2511,44.0238
4780.89,26.2511,44.0238
4790.24,26.4703,45.3587
4799.61,26.2204,50.1841
4809,21.6438,39.2095
4818.41,21.4025,40.5274
4827.84,24.4622,39.5196
4837.29,26.1663,50.1527
4846.76,20.0381,41.4948
4856.25,20.0381,41.4949
4865.76,22.7923,39.0678
4875.29,24.1486,47.3464
4884.84,24.4122,46.5881
4894.41,26.3615,43.8954
4904,26.349,43.9112
4913.61,27.0046,49.6205
4923.24,21.4078,39.3232
4932.89,26.2964,44.8172
4942.56,24.4502,39.5045
4952.25,26.2729,50.1922
4961.96,26.2892,50.1815
4971.69,21.7623,39.1477
4981.44,26.4469,49.982
4991.21,24.9686,46.5718
5001,22.4051,39.0766
5010.81,21.8618,39.238
5020.64,21.5492,39.205
5030.49,21.6213,39.7928
5040.36,18.3397,42.7528
5050.25,21.7989,39.1263
5060.16,24.7426,46.4182
5070.09,21.483,40.0301
5080.04,24.8367,46.818
5090.01,21.6308,39.106
5100,24.1104,38.0874
5110.01,24.8923,46.6057
5120.04,26.3622,50.0688
5130.09,26.3621,50.0688
5140.16,24.4154,46.5262
5150.25,26.3485,49.9697
5160.36,24.1595,47.3546
5170.49,24.5882,46.1651
5180.64,21.9483,38.9581
5190.81,21.342,40.4716
5201,26.3672,50.0331
5211.21,26.3948,50.0364
5221.44,26.3423,50.0378
5231.69,26.3424,50.0379
5241.96,24.8852,46.8696
5252.25,26.4503,50.09
5262.56,27.6347,41.7142
5272.89,27.8272,41.5577
5283.24,25.351,49.5727
5293.61,24.5655,46.5949
5304,18.5207,42.0868
5314.41,26.4258,50.1068
5324.84,24.4151,46.5857
5335.29,26.2766,50.1916
5345.76,24.8241,46.7883
5356.25,20.2382,41.6352
5366.76,20.238,41.6355
5377.29,24.5568,46.6198
5387.84,24.8375,46.6838
5398.41,17.5706,44.2305
5409,24.8642,46.8263
5419.61,21.4532,39.2071
5430.24,17.5678,44.2256
5440.89,16.533,42.7951
5451.56,26.3527,50.0493
5462.25,25.0331,46.4369
5472.96,27.8749,41.7805
5483.69,21.5228,40.5204
5494.44,21.5228,40.5204
5505.21,25.1275,46.5998
5516,24.6233,46.786
5526.81,21.5788,39.1096
5537.64,21.513,39.3729
5548.49,24.9866,46.5601
5559.36,26.2929,50.1918
5570.25,26.293,50.1918
5581.16,24.7194,46.8132
5592.09,26.2927,50.1912
5603.04,26.4365,50.0215
5614.01,24.9168,46.6265
5625,25.0489,47.0502
5636.01,26.2885,50.1946
5647.04,21.4997,39.3695
5658.09,24.8574,46.6379
5669.16,17.7111,42.2871
5680.25,21.2184,40.4101
5691.36,26.3714,50.0335
5702.49,24.7098,46.6725
5713.64,24.8245,46.6016
5724.81,26.427,50.0267
5736,26.4317,50.0446
5747.21,26.2882,50.1929
5758.44,26.2882,50.1929
5769.69,26.4259,50.0207
5780.96,24.5087,44.3372
5792.25,24.4408,46.4483
5803.56,25.3549,49.5951
5814.89,21.6753,39.8263
5826.24,21.5272,39.3518
5837.61,24.1385,47.3464
5849,24.8883,46.6078
5860.41,26.9994,49.6426
5871.84,26.4339,50.0981
5883.29,24.8597,46.8013
5894.76,30.9945,41
5906.25,26.1542,50.1473
5917.76,26.3184,43.8778
5929.29,27.5395,41.6959
5940.84,26.4565,50.1301
5952.41,26.4565,50.1301
5964,24.6709,46.727
5975.61,26.438,50.0546
5987.24,26.2667,50.2045
5998.89,24.838,46.8153
6010.56,24.0699,38.1089
6022.25,21.8111,39.055
6033.96,24.1394,37.9976
6045.69,20.0674,41.3404
6057.44,21.3974,39.3201
6069.21,25.0308,46.4639
6081,24.536,46.639
6092.81,22.4059,39.0764
6104.64,21.6019,39.2921
6116.49,24.8595,46.8278
6128.36,24.8597,46.8277
6140.25,26.3644,43.9393
6152.16,24.7556,46.5454
6164.09,21.4997,39.3695
6176.04,17.5333,42.4353
6188.01,24.9818,46.5751
6200,21.9425,38.9581
6212.01,24.8702,46.824
6224.04,17.5444,44.2299
6236.09,26.403,50.0629
6248.16,17.5453,44.2248
6260.25,24.7707,46.4285
6272.36,19.9572,41.5453
6284.49,28.416,48.4915
6296.64,22.3973,39.0832
6308.81,26.4314,50.0181
6321,26.4339,50.0255
6333.21,26.4338,50.0275
6345.44,26.4369,50.0227
6357.69,26.2959,50.1755
6369.96,27.421,41.5817
6382.25,26.525,37.9763
6394.56,20.2708,41.6651
6406.89,26.4243,50.023
6419.24,24.3652,45.8318
6431.61,26.4394,50.061
6444,26.4347,50.0563
6456.41,26.4361,50.0557
6468.84,26.4301,50.047
6481.29,21.8079,39.2348
6493.76,21.8542,39.1888
6506.25,24.0059,38.1971
6518.76,26.2487,49.9839
6531.29,24.1436,47.3537
6543.84,17.7013,42.2685
6556.41,21.7503,39.196
6569,24.4838,39.6831
6581.61,24.5614,39.5663
6594.24,24.7386,46.5608
6606.89,26.2958,50.1755
6619.56,24.8801,46.8629
6632.25,26.4451,50.091
6644.96,28.3918,36.5899
6657.69,24.5054,39.6933
6670.44,29.9833,40.2115
6683.21,26.3475,50.079
6696,26.3029,44.8148
6708.81,26.3908,49.9876
6721.64,26.3668,49.9596
6734.49,26.3717,50.0335
6747.36,21.3405,40.472
6760.25,24.4824,39.6466
6773.16,24.4451,39.5262
6786.09,26.2045,50.2087
6799.04,25.4593,49.5457
6812.01,25.4287,49.5279
6825,26.143,50.1202
6838.01,24.9277,46.8082
6851.04,21.513,39.3729
6864.09,24.4471,46.7387
6877.16,26.4217,50.0171
6890.25,26.4217,50.0172
6903.36,19.9911,41.5146
6916.49,26.3678,43.9319
6929.64,24.8597,46.8013
6942.81,24.8597,46.8013
6956,25.3474,49.5771
6969.21,24.7318,46.6099
6982.44,21.5655,39.1811
6995.69,26.0839,44.0333
7008.96,24.674,46.7298
7022.25,21.3522,39.244
7035.56,24.4604,39.5929
7048.89,26.3961,43.9613
7062.24,26.3473,50.0789
7075.61,24.8097,46.8143
7089,17.5308,44.2008
7102.41,24.1364,47.3463
7115.84,24.3772,39.5284
7129.29,21.7445,39.1411
7142.76,24.8714,46.8712
7156.25,24.5144,39.7199
7169.76,24.5845,46.6228
7183.29,24.5843,46.6226
